anio_epi,total_respiratorias,suma_subcausas,diferencia,diferencia_pct
2010,5012819,4575797,437022,0.08718088564538237
2011,4693520,4368896,324624,0.06916429460191924
2012,5202325,4854158,348167,0.06692526899030722
2013,5338103,4947795,390308,0.07311736023077861
2014,4997378,4679168,318210,0.06367539137523717
2015,5395448,5084973,310475,0.05754387772804038
2016,5261140,4983828,277312,0.05270948881801282
2017,5126303,4944873,181430,0.035391977415303
2018,4930691,4826870,103821,0.021056075101846778
2019,5001583,4930639,70944,0.01418430924769218
2020,1250986,1411563,-160577,-0.12836034935642765
2021,1382400,1498201,-115801,-0.08376808449074075
2022,4806506,4683960,122546,0.025495859154238028
2023,5549078,5483464,65614,0.011824306668603325
2024,5522419,5534675,-12256,-0.0022193172955547198
2025,5221470,5286457,-64987,-0.012446111918674244
2026,2180742,2238886,-58144,-0.026662484603864188
