anio_epi,semana_inicio,incremento_max,pct_inicio,semana_peak,pct_peak
2010,49,0.13104833661953225,0.39865717747204304,34,0.5141658943228892
2011,10,0.08569370527211947,0.3315336761669275,21,0.39000244697466324
2012,11,0.06610987586225087,0.2569774458161418,27,0.44784063117849343
2013,6,0.1436678074416508,0.3269887105537262,25,0.41662007724856615
2014,2,0.1213131542633705,0.3366884797973812,26,0.4532361816285094
2015,32,0.06132876182268676,0.4044575296480753,33,0.42822603655148594
2016,11,0.06504658892891013,0.2814175195355423,28,0.44310280329436075
2017,11,0.0855141693030658,0.2787113011690079,24,0.4582566557868039
2018,11,0.10563288189347061,0.31030697531101953,27,0.3924526274718253
2019,11,0.067017849566048,0.2341329566443288,24,0.42397303614551185
2020,12,0.1480949537440321,0.3804252968793151,12,0.3804252968793151
2021,52,0.009282567319872648,0.14297216471129515,46,0.14612156117884934
2022,11,0.04915322055233429,0.17539390388363119,44,0.3600106093937712
2023,11,0.09241420109486895,0.3036935672677935,21,0.4272505542713722
2024,11,0.07378075102803253,0.25620069347872376,20,0.455586821222617
2025,12,0.07939870759681517,0.2918873372137354,21,0.34740043367549933
2026,11,0.07388697315777268,0.2903949572645273,24,0.3768441340894872
